features,class
"[-407.20493    161.38583    -40.694366    13.651485     8.670512
  -45.89511     -3.8539677   -5.1882176  -33.931667   -11.416992
  -23.402342   -38.27053    -15.832572   -22.939701   -23.197376
    0.680421    -8.70928    -16.696815    -8.520012   -16.258036
  -13.564005    -6.236465   -12.487102    -7.119311    -5.640692
  -13.713666    -8.033261    -9.793284   -13.805202    -2.3874593
   -6.270321   -12.4996      -1.7289268   -6.6245656   -9.770883
    8.711649    12.222647    10.391373    22.522177    23.049923 ]",Number_2
"[-413.6759     186.92192    -46.306675     6.4167676   11.828744
  -45.32616    -10.093725   -12.48043    -40.098434   -15.251652
  -24.19975    -35.717884    -8.198976   -15.491538   -24.373356
   -4.918632   -10.541917   -16.098024    -7.1726146  -13.049371
  -11.879247    -9.570531   -19.041353   -12.300406    -6.687819
  -12.762144    -5.8810506   -3.225252    -5.838282     1.6164376
   -2.9882915   -8.328295    -0.5927147   -7.2563834  -12.478109
   -1.4043933   -1.7896616   -1.7814584    7.834073     5.5069776]",Number_2
"[-4.2372559e+02  1.7395312e+02 -5.5851372e+01  9.4613276e+00
  1.0751078e+01 -4.6002663e+01 -1.9520181e+00 -9.9326553e+00
 -3.8669441e+01 -5.8827858e+00 -2.0645287e+01 -3.7393265e+01
 -6.0285239e+00 -1.6729046e+01 -2.7574213e+01 -3.4517150e+00
 -1.0716789e+01 -1.9376339e+01 -9.4334946e+00 -1.4236851e+01
 -1.0199011e+01 -6.7131538e+00 -1.8786461e+01 -1.1648402e+01
 -4.9909887e+00 -1.2434123e+01 -5.5024376e+00 -4.3056135e+00
 -1.0318997e+01 -2.0063462e+00 -3.4589148e+00 -7.8510857e+00
 -1.3535388e-01 -6.4467354e+00 -1.1093063e+01  4.3755293e-02
 -4.5429277e-01  1.6121340e+00  1.6563669e+01  2.0703287e+01]",Number_2
"[-4.12089844e+02  1.71256760e+02 -4.88769150e+01  1.37551250e+01
  1.37613564e+01 -4.74470253e+01 -4.91943979e+00 -6.27221823e+00
 -3.97394409e+01 -1.25738649e+01 -1.86687775e+01 -3.60893326e+01
 -1.26733475e+01 -1.85699787e+01 -2.67388611e+01 -5.60636282e+00
 -8.60098839e+00 -1.49183493e+01 -6.93216133e+00 -1.18455677e+01
 -1.11509590e+01 -7.59722281e+00 -1.25001249e+01 -5.67516279e+00
 -4.30285358e+00 -1.12792225e+01 -5.04682589e+00 -6.85331154e+00
 -1.08825951e+01  2.99223334e-01 -1.69793606e+00 -6.30313253e+00
  1.28953266e+00 -8.58418274e+00 -1.61570625e+01 -2.64555383e+00
 -2.81082535e+00 -6.76118040e+00  5.22136402e+00  1.12485228e+01]",Number_2
"[-4.09699249e+02  1.68881546e+02 -4.72430458e+01  7.97112370e+00
  1.41605072e+01 -4.30798798e+01 -8.78989792e+00 -1.00638895e+01
 -4.03528900e+01 -1.51235847e+01 -2.00399399e+01 -3.77342567e+01
 -1.62824535e+01 -1.92881813e+01 -2.62567368e+01 -6.78980160e+00
 -9.23347282e+00 -1.45819664e+01 -6.60182571e+00 -1.36094475e+01
 -1.40746832e+01 -7.60658073e+00 -1.33945923e+01 -8.97109413e+00
 -3.76271009e+00 -1.09571753e+01 -8.00797749e+00 -5.21792650e+00
 -7.76270866e+00 -1.08106148e+00 -3.23463273e+00 -9.57723045e+00
 -3.10603142e+00 -5.38858175e+00 -9.34483528e+00  1.64858341e+00
  3.37450504e+00 -7.13495389e-02  9.43602753e+00  1.61474857e+01]",Number_2
"[-4.08258331e+02  1.71508667e+02 -4.73124084e+01  9.35129833e+00
  1.25157738e+01 -4.18508949e+01 -3.16472602e+00 -8.98442745e+00
 -3.94054031e+01 -1.19743147e+01 -2.15136909e+01 -3.70551834e+01
 -1.09628649e+01 -1.93026791e+01 -2.70596256e+01 -3.24232745e+00
 -1.03364773e+01 -1.90778637e+01 -5.77451277e+00 -9.73921967e+00
 -1.16761179e+01 -6.62693501e+00 -1.27809925e+01 -8.06556988e+00
 -2.90460443e+00 -9.06724739e+00 -5.98609877e+00 -7.81618834e+00
 -1.29331894e+01 -2.64329457e+00 -1.75475276e+00 -6.54450607e+00
  2.44178295e-01 -6.65766811e+00 -1.44189043e+01 -1.16452098e+00
  3.16547799e+00  4.91019130e-01  1.09616671e+01  1.65451813e+01]",Number_2
"[-423.3626     168.0639     -43.22102      6.1016      12.562244
  -40.49311     -7.0234375   -6.861043   -35.71675    -15.37311
  -21.824995   -34.037598    -9.879865   -14.666831   -22.877163
   -5.2621727  -12.2115     -20.512224    -9.681969   -10.273125
   -6.6268754   -2.0286608  -13.232005   -12.384356    -8.133214
  -14.842163    -9.948383    -6.9959307  -11.178948    -2.4937415
   -1.6281118   -9.211293    -4.455339    -6.6005635   -9.805469
    4.3862276   10.253427     8.544395    17.695787    21.211021 ]",Number_2
"[-408.12976    175.70132    -43.055687     8.8266      10.6432085
  -45.450214    -8.80549    -10.017483   -36.922066   -11.106533
  -20.158892   -37.061855   -14.535431   -19.925667   -25.9898
   -6.463417   -11.280272   -15.782133    -7.490885   -14.259467
  -12.180477    -7.386266   -14.899436    -7.5439954   -3.5825534
  -13.55523     -8.623139    -6.2859836  -10.860266    -2.597378
   -3.610561    -8.915556    -1.7024695   -6.827599   -10.190758
    6.526638    10.000576     5.1483426   13.282833    15.010258 ]",Number_2
"[-4.08929138e+02  1.56078781e+02 -3.86110687e+01  1.74089470e+01
  1.00490026e+01 -4.42201080e+01  3.25272605e-02 -8.76519680e+00
 -4.67598076e+01 -1.62315559e+01 -2.11221542e+01 -4.40057564e+01
 -1.85898895e+01 -1.55555506e+01 -2.36456089e+01 -5.78384209e+00
 -6.13248014e+00 -1.19814634e+01 -8.15122223e+00 -1.45222645e+01
 -1.04297600e+01 -4.08323193e+00 -1.15537128e+01 -7.42848635e+00
 -5.70919800e+00 -1.39757233e+01 -7.27792168e+00 -5.57369375e+00
 -9.86793995e+00  1.26858652e+00  4.39694673e-01 -8.91230679e+00
 -3.71518588e+00 -8.73176003e+00 -1.40329113e+01  1.28323436e-01
  9.46811676e-01 -6.05147886e+00  4.52994347e+00  1.22302361e+01]",Number_2
"[-3.78251312e+02  1.56909119e+02 -5.63357887e+01  2.13666897e+01
  1.02581930e+01 -5.12870293e+01  3.89931369e+00 -7.40858269e+00
 -4.47069740e+01 -9.72570038e+00 -2.28790760e+01 -4.00433731e+01
 -1.00677586e+01 -2.29879017e+01 -2.92870388e+01 -2.05653048e+00
 -1.11740675e+01 -1.39264278e+01 -8.20585936e-02 -1.31387138e+01
 -1.40636234e+01 -7.36542845e+00 -1.51994267e+01 -6.79392481e+00
 -5.00470686e+00 -1.28556023e+01  7.38916993e-01 -2.71612072e+00
 -1.73268661e+01 -4.40890503e+00 -2.95454502e+00 -9.97266674e+00
  3.92564726e+00  2.42617941e+00 -7.57752323e+00 -6.69025540e-01
 -2.97558451e+00 -3.51355767e+00  1.19700518e+01  1.82953606e+01]",Number_2
"[-3.7102457e+02  1.8624245e+02 -7.5022575e+01  2.7394026e+01
  1.7186300e+01 -6.1059093e+01  5.7030892e+00 -6.5041814e+00
 -5.2170322e+01 -1.0567651e+01 -2.5775564e+01 -4.1609657e+01
 -1.4245507e+00 -2.1533104e+01 -3.2599865e+01  4.1382813e+00
 -7.5124993e+00 -1.5985230e+01  1.8503262e+00 -1.2331116e+01
 -1.7579830e+01 -1.1093888e+01 -1.8265865e+01 -7.7713151e+00
 -5.4259849e+00 -1.4177182e+01  7.5212520e-01 -3.1044235e+00
 -1.5845820e+01  2.8689530e+00  1.6446944e+00 -1.2178239e+01
  1.2140518e+00 -1.3409728e+00 -1.1812991e+01  2.5033459e-01
 -1.1613514e-01 -5.3385711e+00  2.1574273e+00  1.4738665e+00]",Number_2
"[-4.0671027e+02  1.7899625e+02 -5.8887600e+01  1.8830484e+01
  9.9447603e+00 -5.3136852e+01  3.2236233e+00 -9.3157444e+00
 -4.7279358e+01 -1.1193426e+01 -2.4755583e+01 -4.1032406e+01
 -1.0655831e+01 -2.3551718e+01 -2.6678446e+01  1.5317662e+00
 -1.0168068e+01 -1.4807642e+01 -2.8728423e+00 -1.7196039e+01
 -1.8122547e+01 -9.8936071e+00 -1.3995429e+01 -5.6019130e+00
 -6.5448751e+00 -1.3310184e+01 -3.4023613e-01 -4.6921988e+00
 -1.4542833e+01 -1.4323949e+00 -3.5080452e+00 -8.6178169e+00
  3.3170466e+00 -3.0067894e+00 -9.4809275e+00  8.3977205e-01
 -3.6862037e+00 -7.5608401e+00  2.3528087e+00  6.9393916e+00]",Number_2
"[-368.7525      161.47366     -54.51437      16.641136      8.406117
  -55.37095      -4.3446355    -9.810034    -46.663483    -13.704451
  -21.252718    -38.89788     -11.177795    -19.781399    -26.968086
   -1.5162687    -8.237553    -13.259941     -0.55864877  -11.478844
  -13.683907     -6.5847073   -14.018081     -7.0622168    -2.1059897
  -11.509245     -3.9842453    -1.9411409   -10.032141     -0.48039904
   -1.3156619   -11.53809      -3.4589636    -3.1883082    -8.516771
   -0.775046     -5.056929    -12.652475     -3.79945       2.178793  ]",Number_2
"[-3.6405856e+02  1.6638818e+02 -5.8115551e+01  1.5654988e+01
  6.4049220e+00 -5.7167416e+01 -1.9276683e+00 -9.4441614e+00
 -4.7697781e+01 -1.1513516e+01 -2.0137470e+01 -4.0738125e+01
 -1.3153799e+01 -1.9910769e+01 -2.4165993e+01  3.8780865e-01
 -9.4652319e+00 -1.3738539e+01 -1.1088226e+00 -1.4533863e+01
 -1.6402649e+01 -7.6413746e+00 -1.3944200e+01 -7.2800279e+00
 -4.4853215e+00 -1.2317703e+01 -1.9738505e+00 -2.7968712e+00
 -1.2779626e+01 -1.4380978e+00 -2.6364617e+00 -1.2402317e+01
 -2.5663750e+00 -2.8128967e+00 -7.4315958e+00  2.8092754e-01
 -7.5930915e+00 -1.5220300e+01 -3.0706918e+00  3.8501966e+00]",Number_2
"[-3.6940475e+02  1.7013602e+02 -4.7524433e+01  1.2475255e+01
  7.9359393e+00 -5.0365261e+01 -3.8989367e+00 -9.5975771e+00
 -4.6112637e+01 -1.4602097e+01 -1.9103811e+01 -3.9878853e+01
 -1.5190569e+01 -1.5089099e+01 -2.2324293e+01 -5.2648664e+00
 -8.3850145e+00 -1.2104172e+01 -4.7235136e+00 -1.0708468e+01
 -1.0373820e+01 -7.9281220e+00 -1.1841646e+01 -5.0445275e+00
 -7.7746425e+00 -1.3994728e+01 -4.1311225e-01  6.7254269e-01
 -7.7854104e+00 -2.0660777e+00 -6.3706360e+00 -9.9574203e+00
  1.7216233e+00 -3.8538367e-01 -4.4853201e+00  5.8860235e-02
 -8.1693821e+00 -8.9092999e+00  3.7150800e+00  5.2680125e+00]",Number_2
"[-3.6281900e+02  1.6513272e+02 -5.1784855e+01  1.8647545e+01
  5.2510767e+00 -5.7306210e+01  2.0074485e-01 -7.7609892e+00
 -4.8513298e+01 -1.1475417e+01 -1.8356630e+01 -4.1012802e+01
 -1.2915721e+01 -1.7807602e+01 -2.6315819e+01 -3.3579526e+00
 -7.4529104e+00 -9.9939184e+00 -4.1074210e-01 -1.4176195e+01
 -1.5238783e+01 -7.3471785e+00 -1.5050414e+01 -7.8876853e+00
 -2.0192416e+00 -8.8438435e+00 -8.7743497e-01 -2.9338217e+00
 -1.3901267e+01 -4.9819975e+00 -5.8267717e+00 -1.2167295e+01
 -1.7396866e-01 -1.1143252e+00 -8.7952003e+00 -3.2799032e+00
 -7.7489595e+00 -8.6361380e+00  6.4302163e+00  1.1748566e+01]",Number_2
"[-383.4419     178.31184    -58.597694    14.972044     8.603339
  -58.53429     -2.3831282   -5.747425   -47.63345    -13.108751
  -17.522242   -38.95151    -12.777523   -18.738173   -26.673517
   -2.3123467   -6.7472343  -12.17718     -4.2163973  -17.969067
  -18.972       -9.033178   -13.532142    -5.410385    -1.9339933
  -13.390088    -6.8303514   -4.711933   -12.8951645   -4.016897
   -2.8681178   -9.164647    -1.6603726   -3.1808624   -4.65195
    6.036937     1.1286539   -2.7389896    8.98474      9.447887 ]",Number_2
"[-3.6410501e+02  1.7570096e+02 -6.3117538e+01  7.8039875e+00
  9.1572437e+00 -5.3470848e+01 -2.3385568e+00 -5.6574879e+00
 -4.4748116e+01 -1.3145522e+01 -1.9884977e+01 -4.1156773e+01
 -1.4602480e+01 -1.7231033e+01 -2.2473278e+01 -1.9144942e+00
 -1.2299095e+01 -1.8272213e+01 -5.8092680e+00 -1.6185783e+01
 -1.7182644e+01 -8.4951096e+00 -1.4291414e+01 -5.8481994e+00
 -8.2970655e-01 -1.2327845e+01 -5.8323269e+00 -3.3308136e+00
 -1.1998171e+01 -1.2620752e+00  3.2702111e-02 -1.2028557e+01
 -4.5779943e+00 -1.5152125e+00 -8.4035769e+00 -2.3063369e+00
 -7.7177060e-01 -3.5662954e+00  4.3702369e+00  1.0477150e+01]",Number_2
"[-4.0013263e+02  1.8280333e+02 -6.0946568e+01  1.4943018e+01
  1.1554109e+01 -5.6712521e+01 -3.5933721e+00 -4.8033075e+00
 -4.0464375e+01 -9.6479588e+00 -2.0944998e+01 -3.8643623e+01
 -1.2046922e+01 -2.3550085e+01 -2.8390715e+01 -1.8293753e+00
 -1.0051668e+01 -1.1856920e+01  3.8010234e-01 -1.7309525e+01
 -2.0762691e+01 -1.0073087e+01 -1.4870701e+01 -7.1530528e+00
 -4.6569939e+00 -1.4782187e+01 -4.6103473e+00 -3.6484120e+00
 -1.3980479e+01 -2.5649498e+00 -1.9345748e+00 -1.2659633e+01
 -3.9866836e+00 -2.1496232e+00 -6.4718461e+00  2.6765785e+00
  3.7054653e+00  1.8785758e+00  8.9477882e+00  9.7180958e+00]",Number_2
"[-4.0000967e+02  1.6350246e+02 -4.2829765e+01  1.7038979e+01
  1.1632150e+01 -4.4049362e+01  1.8282945e+00 -9.1174440e+00
 -4.9825542e+01 -1.5931481e+01 -1.7142008e+01 -3.9611023e+01
 -1.5306678e+01 -1.3919745e+01 -2.3384720e+01 -7.3248730e+00
 -8.8418779e+00 -1.3630205e+01 -9.0397825e+00 -1.5270057e+01
 -1.0004060e+01 -3.2773385e+00 -1.1633273e+01 -8.3281422e+00
 -7.4299283e+00 -1.5881987e+01 -7.9038315e+00 -4.0439715e+00
 -8.1655998e+00 -5.7101965e-01 -3.9027629e+00 -1.2322268e+01
 -6.4889636e+00 -9.5075035e+00 -1.0586605e+01  4.7005491e+00
  5.5164843e+00 -4.7310855e-02  8.8582964e+00  1.4379213e+01]",Number_2
"[-3.9229727e+02  1.5980679e+02 -5.1731613e+01  1.3763904e+01
  1.2401226e+01 -4.5735573e+01 -8.3620605e+00 -1.4370329e+01
 -4.4126732e+01 -1.7781775e+01 -2.6135475e+01 -3.4530548e+01
 -6.2691450e+00 -1.9045670e+01 -2.6939589e+01 -1.0132375e+00
 -7.9886026e+00 -1.4714703e+01 -2.4522501e-01 -7.8986435e+00
 -1.1096951e+01 -2.6637166e+00 -8.1364670e+00 -7.4089632e+00
 -5.6289291e+00 -1.0356938e+01 -1.6626863e+00  9.4633949e-01
 -5.4102993e+00 -5.4240972e-01 -3.7550218e+00 -9.2226658e+00
 -1.4959631e+00 -4.7856588e+00 -8.6901608e+00  4.6134248e-02
 -5.1396313e+00 -1.0903980e+01 -3.1316757e-01  3.9344668e+00]",Number_2
"[-3.91172150e+02  1.69303864e+02 -6.08143997e+01  1.71419315e+01
  1.36380701e+01 -5.25678635e+01 -6.97585726e+00 -1.38337107e+01
 -4.40571022e+01 -1.68289070e+01 -3.25363159e+01 -3.71619034e+01
 -5.77273178e+00 -2.61083622e+01 -2.71537285e+01  4.33914089e+00
 -1.07400055e+01 -1.44928389e+01  1.60489738e+00 -1.26688328e+01
 -1.36706972e+01 -7.68466234e+00 -1.63777962e+01 -5.76722097e+00
 -4.12299204e+00 -1.31756811e+01  2.56088495e+00  4.04508024e-01
 -1.33141479e+01  9.52821732e-01  3.76952320e-01 -9.33316517e+00
  2.13343406e+00 -2.43295813e+00 -1.05287781e+01 -4.87847477e-01
 -5.50018167e+00 -9.35305595e+00  2.19348502e+00  2.51767302e+00]",Number_2
"[-4.3431848e+02  1.8066318e+02 -3.1991903e+01  1.7880983e+01
  1.2331589e+01 -4.6302532e+01 -6.0801754e+00 -4.0825024e+00
 -3.3151985e+01 -1.1321557e+01 -2.1187578e+01 -3.7369999e+01
 -1.4679006e+01 -1.9845448e+01 -2.3657230e+01 -1.6052454e+00
 -7.6351519e+00 -1.2765699e+01 -2.0425715e+00 -1.1438766e+01
 -1.6204741e+01 -1.1931055e+01 -1.4594330e+01 -4.3670721e+00
  3.1564310e-01 -8.1600237e+00 -1.3459356e+00 -8.9962018e-01
 -9.7217312e+00 -1.0324503e+00 -1.0107437e-01 -7.3750658e+00
 -4.2823300e-01 -3.8743944e+00 -1.0814571e+01 -7.8864485e-02
  9.1438222e-01 -4.7030172e+00  2.1213567e+00  4.0966244e+00]",Number_2
"[-386.48376     176.68266     -43.847656     13.2809725     2.158558
  -51.61407      -2.8420177    -0.71966547  -34.761475     -9.686947
  -18.420397    -36.100964    -10.247003    -13.461173    -21.700996
   -1.5666329    -7.4235716   -15.692789     -5.547913    -12.442658
  -15.683455     -7.9164124   -10.182922     -6.697385     -4.2925797
   -9.607863     -3.1084375    -1.5821842    -9.090447     -6.7719955
   -8.35847      -8.425694      0.8852365    -5.974067    -13.859754
   -5.9635854    -8.417982     -9.381341      6.2383113    14.650872  ]",Number_2
"[-4.08838043e+02  1.66575500e+02 -4.43208961e+01  6.01800728e+00
  1.08822308e+01 -3.96268616e+01 -3.84068632e+00 -7.20020819e+00
 -3.71693039e+01 -1.70320930e+01 -2.66994419e+01 -3.86876945e+01
 -1.37287140e+01 -1.99423752e+01 -2.54863129e+01 -4.03869009e+00
 -9.62967396e+00 -1.62936897e+01 -7.19618034e+00 -1.50515375e+01
 -1.75300751e+01 -9.88255692e+00 -9.55200863e+00 -2.89661956e+00
 -2.65643573e+00 -1.05016499e+01 -5.10188723e+00 -5.47390223e+00
 -9.73694897e+00 -1.10762858e+00 -3.12272596e+00 -7.46193171e+00
  6.73687398e-01 -4.51154947e+00 -9.81749630e+00  6.17622919e-02
 -3.34723622e-01 -1.27158105e-01  1.19918976e+01  1.54558516e+01]",Number_2
"[-3.7380682e+02  1.6700941e+02 -4.2157845e+01  1.1870390e+01
  4.8883262e+00 -4.8223167e+01 -4.7186522e+00 -1.4020198e+01
 -4.5679226e+01 -1.6016308e+01 -2.5504400e+01 -3.9395424e+01
 -1.2855656e+01 -2.2376951e+01 -2.8141651e+01 -3.3723488e+00
 -7.8308010e+00 -1.0848897e+01 -1.3609908e+00 -1.2959577e+01
 -1.4238006e+01 -8.8278055e+00 -1.4701825e+01 -6.0052428e+00
 -3.2158704e+00 -1.2015173e+01 -3.6009703e+00 -3.8600533e+00
 -1.1327767e+01 -6.7184311e-01 -1.1750833e+00 -7.4138999e+00
 -1.7845589e-01 -5.3465376e+00 -7.3929458e+00  5.5118637e+00
  1.5988972e+00 -2.1323600e+00  6.4405575e+00  3.1471076e+00]",Number_2
"[-4.1153833e+02  1.7944249e+02 -4.8338371e+01  1.5279838e+01
  9.5534143e+00 -5.2838921e+01 -2.9907656e+00 -5.1445704e+00
 -4.1312763e+01 -1.2693746e+01 -2.0660658e+01 -3.7396767e+01
 -1.1886339e+01 -2.0401752e+01 -2.5689468e+01 -1.0334746e+00
 -9.1321459e+00 -1.4818141e+01 -3.7673509e+00 -1.6338245e+01
 -1.8367735e+01 -9.4753914e+00 -1.4705219e+01 -5.8452992e+00
 -1.8464166e-01 -1.1129459e+01 -5.3376026e+00 -2.9580531e+00
 -1.1021303e+01 -2.1252689e+00 -6.4790148e-01 -7.9693165e+00
 -1.8061703e+00 -4.8934221e+00 -8.6084766e+00  4.0412951e+00
  2.9735708e+00 -3.7246196e+00  4.5511122e+00  8.0214872e+00]",Number_2
"[-4.1365112e+02  1.5975734e+02 -4.2945896e+01  1.3613080e+01
  8.7324448e+00 -4.6549393e+01 -5.3452468e+00 -1.2154997e+01
 -4.5634251e+01 -1.9761223e+01 -2.5195728e+01 -3.4127724e+01
 -7.8373890e+00 -1.7988087e+01 -2.2998404e+01  6.6311830e-01
 -8.8563566e+00 -1.4324460e+01  1.2835626e-01 -8.9543800e+00
 -1.1495613e+01 -2.7491684e+00 -8.8651562e+00 -7.2191572e+00
 -5.8046412e+00 -1.1749346e+01 -1.5285262e+00  1.3944751e+00
 -6.4023552e+00  7.4670684e-01 -1.1320877e+00 -9.9171982e+00
 -2.8793182e+00 -4.8144646e+00 -9.7917223e+00 -2.2214966e-01
 -3.7417641e+00 -1.2402900e+01 -5.3666434e+00 -2.0243225e+00]",Number_2
"[-4.1557837e+02  1.6255046e+02 -3.3701561e+01  1.6375652e+01
  6.6781335e+00 -4.6543968e+01 -1.3492972e+01 -1.3534124e+01
 -3.5288830e+01 -1.2199280e+01 -2.2356556e+01 -3.0677200e+01
 -6.4901729e+00 -1.7669313e+01 -2.3546814e+01 -8.9316148e-01
 -7.0153046e+00 -1.0686937e+01  1.9740324e+00 -6.1001778e+00
 -8.4476547e+00 -3.0076385e+00 -9.9518385e+00 -6.5096817e+00
 -4.5991454e+00 -1.0320557e+01  2.1850853e+00  6.7423978e+00
 -4.0403571e+00 -3.5190275e-01 -1.5825365e+00 -1.0185045e+01
 -4.7021551e+00 -5.7166781e+00 -9.7896137e+00 -1.6458427e+00
 -5.3436699e+00 -1.3055831e+01 -6.6409535e+00 -4.6921000e+00]",Number_2
"[-417.82092    167.69012    -36.748074    12.672854     7.880635
  -45.572582   -17.109667   -12.953104   -31.310213   -13.501358
  -24.08617    -28.01367     -7.623769   -21.687803   -21.872965
    2.594494    -6.39895     -9.410092     3.0888765   -6.689369
   -8.075982    -2.936493   -10.051314    -3.041651    -1.3795654
  -11.649698     0.6864474    7.0093036   -4.156121     1.0480808
    1.5624752   -9.313037    -5.491532    -4.919205   -10.41538
   -6.560007    -8.299529   -10.26363     -5.3533893   -8.081878 ]",Number_2
"[-4.0602692e+02  1.6377048e+02 -3.8111305e+01  1.8028111e+01
  5.7839117e+00 -4.8119534e+01  1.5246610e-01 -1.1127681e+01
 -4.8750977e+01 -1.7665058e+01 -2.3958012e+01 -4.1007889e+01
 -1.4513771e+01 -1.6638992e+01 -2.1730946e+01 -4.4153728e+00
 -1.0291139e+01 -1.2066650e+01 -6.9046283e+00 -1.8080975e+01
 -1.1241463e+01 -2.6343842e+00 -1.2250442e+01 -7.0287061e+00
 -4.9721947e+00 -1.3362689e+01 -5.9440498e+00 -6.7178731e+00
 -1.1654690e+01 -5.1665865e-03 -2.1290989e+00 -7.6961985e+00
 -8.2164653e-02 -9.0062027e+00 -1.3370150e+01  2.3148558e+00
  6.7421770e-01 -3.7529094e+00  6.1619725e+00  5.4447064e+00]",Number_2
"[-404.85916     177.6432      -33.576496     10.148549      3.9849193
  -48.033432     -8.352056    -15.667303    -46.707783    -18.598488
  -27.339268    -44.62177     -18.185444    -20.826067    -25.374393
   -2.477085     -7.54778     -12.870863     -1.222736     -9.451745
  -11.15021      -3.3844337   -11.361174    -10.053439     -4.923181
  -10.438642     -4.660782     -0.9661227    -6.3921156    -0.89442736
    0.66439      -2.4025404     2.7447896    -0.7934784    -3.823205
    3.2904918    -0.9606286    -3.3228545     5.6805115     3.0950093 ]",Number_2
"[-3.5901044e+02  1.9004535e+02 -4.6500381e+01  5.4795313e+00
  2.4745073e+00 -5.3594143e+01 -7.8477850e+00 -1.6033587e+01
 -5.2134869e+01 -2.0373575e+01 -2.9089443e+01 -4.7498287e+01
 -1.4601533e+01 -1.7286051e+01 -2.9157902e+01 -6.5383801e+00
 -7.7086692e+00 -1.2462643e+01 -2.7892122e+00 -1.2913964e+01
 -1.2784943e+01 -1.4579498e+00 -9.5363140e+00 -9.4283028e+00
 -4.3283696e+00 -1.1736266e+01 -7.4812031e+00 -1.4770592e+00
 -4.8054714e+00 -3.0445951e-01  9.2508072e-01 -9.4696259e-01
  3.5306458e+00 -8.9040053e-01 -2.5138485e+00  5.1475534e+00
  5.3422773e-01 -1.1653972e+00  5.8749576e+00  1.9826812e-01]",Number_2
"[-393.7282      166.52766     -33.95266       6.2139835     2.9417977
  -43.99946      -5.6455326   -13.16567     -45.67926     -18.929459
  -24.846945    -42.097088    -16.392778    -18.805555    -27.508373
   -5.252351     -5.94986     -11.135228      0.39794338   -7.971363
  -13.44331      -4.868778     -9.683658     -9.171022     -3.7021546
  -10.732912     -8.1540165    -1.8608683    -7.544485     -5.8751297
   -0.43403897   -1.6153511    -1.454848     -4.5648994    -4.7176876
    3.7596946     2.9826384    -0.7890638     3.532028      2.0779233 ]",Number_2
"[-3.82575348e+02  1.60370132e+02 -3.99824829e+01  1.18180065e+01
  4.40522718e+00 -4.75777550e+01 -6.31501818e+00 -1.59682102e+01
 -4.51883430e+01 -1.20396023e+01 -2.06046753e+01 -3.93638382e+01
 -1.51852827e+01 -2.12636089e+01 -2.63112259e+01 -3.50809336e+00
 -8.27483940e+00 -9.89465809e+00  2.57174945e+00 -8.57895470e+00
 -1.20137053e+01 -5.90942144e+00 -1.19492254e+01 -6.02778387e+00
 -3.21162748e+00 -1.11893120e+01 -1.82912421e+00 -7.37982869e-01
 -1.25510979e+01 -5.48632383e+00 -1.43883002e+00 -5.68108082e+00
 -2.55357832e-01 -4.29747295e+00 -8.46683884e+00  1.03731883e+00
  2.57310122e-01  2.60401994e-01  1.00060205e+01  6.15634298e+00]",Number_2
"[-3.7034299e+02  1.7568382e+02 -3.9589397e+01  8.6375322e+00
  1.5405128e+00 -5.2222080e+01 -3.9511087e+00 -8.2649870e+00
 -4.7792736e+01 -2.1127474e+01 -2.7012833e+01 -4.7548515e+01
 -1.8425322e+01 -1.4965739e+01 -2.5206743e+01 -6.7431121e+00
 -5.1378021e+00 -9.4345646e+00 -3.8428833e+00 -1.2386490e+01
 -1.2090364e+01 -4.6947403e+00 -1.1741170e+01 -9.1589298e+00
 -3.9886076e+00 -9.9876461e+00 -5.5661058e+00 -2.1962392e+00
 -7.0611753e+00 -2.2946446e+00  3.2341272e-01 -7.8780037e-01
  1.3105992e+00 -5.5073085e+00 -6.0383267e+00  3.3439388e+00
 -1.1522758e+00 -1.7912744e+00  8.1112957e+00  3.1258304e+00]",Number_2
"[-387.32465     178.07552     -43.289314      5.7051167     0.7081353
  -49.27874      -6.093285    -17.705038    -47.898888    -13.881567
  -22.829374    -40.33945     -14.114707    -18.75192     -23.611403
   -4.1066747   -10.19822     -10.890698     -0.88359743  -10.294751
   -8.445323     -4.6153936   -12.835121     -4.3180017    -2.321902
  -11.40986      -2.2856295    -1.8288106    -9.074294     -0.8488713
   -2.1332598    -4.3532786     2.831251     -6.63321      -9.94404
   -0.52690667   -8.1747265    -5.387085     10.129328      4.1157866 ]",Number_2
"[-3.79170593e+02  1.75118011e+02 -4.79212074e+01  8.84824276e+00
 -6.62316561e-01 -5.64730797e+01 -4.65901136e+00 -1.41032715e+01
 -5.16261559e+01 -1.58087959e+01 -2.29055481e+01 -4.41862640e+01
 -1.46367102e+01 -1.68893547e+01 -2.57131996e+01 -3.90920591e+00
 -7.50143480e+00 -1.25668831e+01 -3.46671844e+00 -1.15674782e+01
 -9.86693954e+00 -3.45453334e+00 -1.16269102e+01 -5.37176418e+00
 -1.85696471e+00 -1.13715038e+01 -3.13383007e+00  3.76268834e-01
 -8.49124622e+00 -3.52875304e+00 -2.64589286e+00 -4.99902439e+00
  1.98306048e+00 -3.43960428e+00 -7.27320766e+00  7.96694100e-01
 -4.71097326e+00 -5.57954931e+00  6.33322620e+00  3.57361531e+00]",Number_2
